,Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
0,Wisconsin,Beta,14000,0.01593625498007968,0.01195219123505976,0.015936254980079667,0.015936254980079667,0.9997152297582943,0.5106796116504855
1,Wisconsin,Beta,22637,0.0199203187250996,0.01195219123505976,0.019920318725099584,0.015936254980079667,0.9995254008099437,0.5495145631067961
2,Wisconsin,Beta,48417,0.02390438247011952,0.01195219123505976,0.0239043824701195,0.01195219123505975,0.9996794355974998,0.5300970873786408
3,Wisconsin,Beta,59358,0.02390438247011952,0.00796812749003984,0.0239043824701195,0.01195219123505975,0.9999007800142863,0.3844660194174757
4,Wisconsin,Beta,55366,0.02390438247011952,0.00796812749003984,0.0239043824701195,0.01195219123505975,0.9985493468120694,0.48349514563106794
5,Wisconsin,Beta,41030,0.0199203187250996,0.00796812749003984,0.019920318725099584,0.007968127490039834,0.9996255048317835,0.4601941747572815
6,Wisconsin,Beta,97558,0.01593625498007968,0.01195219123505976,0.015936254980079667,0.01195219123505975,0.9991667422582395,0.47766990291262135
7,Wisconsin,Beta,55391,0.0199203187250996,0.01195219123505976,0.0239043824701195,0.01195219123505975,0.9997167781402823,0.47572815533980584
8,Wisconsin,Beta,34887,0.01195219123505976,0.01195219123505976,0.01195219123505975,0.015936254980079667,0.9994460478192195,0.5436893203883495
9,Wisconsin,Beta,8559,0.0199203187250996,0.00796812749003984,0.019920318725099584,0.01195219123505975,0.9993788108113222,0.47572815533980584
